ID;time;Temperatur;Pressure;Vin;Coin;CO2in;H2in;N2in;Coout;CO2out;H2out;N2out;CH3OHout;H2Oout;gammaN2;gammeCH3OH;BalanceC;BalanceO;BalanceH
1;3.899;230;30;240;0;13.25;71.46;15.29;1.43;10.94;68.44;15.67;0.99;2.52;0.976;0.98;0.9893;0.9926;1.0009
2;3.949;240;30;240;0;13.25;71.46;15.29;1.71;10.53;68.01;15.76;1.1;2.9;0.97;0.978;0.9846;0.9879;1.001
3;3.985;250;30;240;0;13.25;71.46;15.29;2.01;10.31;67.84;15.69;1.08;3.07;0.975;0.979;0.9895;0.9891;1.001
4;4.281;260;30;240;0;13.25;71.46;15.29;2.33;10.19;67.46;15.73;0.95;3.34;0.972;0.981;0.9977;0.9998;0.9984
5;4.067;230;40;240;0;13.25;71.46;15.29;1.36;10.75;67.89;15.87;1.34;2.79;0.964;0.974;0.9891;0.992;0.9997
6;4.115;240;40;240;0;13.25;71.46;15.29;1.58;10.42;67.36;15.85;1.56;3.22;0.964;0.97;0.9925;0.9955;1.0002
7;4.16;250;40;240;0;13.25;71.46;15.29;1.82;10.18;66.89;15.99;1.62;3.49;0.956;0.969;0.9955;0.9975;0.998
8;4.232;260;40;240;0;13.25;71.46;15.29;2.11;10.04;66.81;15.9;1.49;3.65;0.962;0.971;0.9995;1.0011;0.998
9;4.451;230;50;240;0;13.25;71.47;15.28;1.31;10.73;67.53;15.9;1.66;2.87;0.961;0.968;1.0008;0.9971;0.9984
10;4.38;240;50;240;0;13.25;71.47;15.28;1.46;10.35;66.9;16.05;2.02;3.22;0.953;0.961;1.0035;0.9942;0.9974
11;3.33;250;50;240;0;13.25;71.47;15.28;1.66;10.05;66.51;16;2.16;3.62;0.955;0.959;1.0036;0.9964;0.9986
12;5.13;250;50;240;0;13.25;71.47;15.28;1.66;10.06;65.91;15.89;2.17;4.3;0.962;0.958;1.0048;1.0221;0.9998
13;4.32;260;50;240;0;13.25;71.47;15.28;1.91;9.91;66.19;16.08;2.09;3.83;0.951;0.96;1.0078;1.0014;0.9965
14;4.87;230;60;240;0;13.25;71.47;15.28;1.25;10.61;67.07;15.86;2.02;3.19;0.963;0.961;1.0072;1.0042;0.9992
15;4.94;240;60;240;0;13.25;71.47;15.28;1.36;10.22;66.32;16.16;2.43;3.51;0.946;0.954;1.0089;0.9988;0.9966
16;5.02;250;60;240;0;13.25;71.47;15.28;1.53;10.03;66.01;16.26;2.6;3.57;0.94;0.951;1.016;0.996;0.9946
