dynamic_1,dynamic_2,dynamic_3,dynamic_4,dynamic_5,dynamic_6,dynamic_7
0,0.01429,0,0.1075,0.71821,0,0.16
10,0.01435,0,0.1072,0.71845,0,0.16
20,0.01446,0,0.1072,0.71834,0,0.16
30,0.01428,0,0.1074,0.71832,0,0.16
40,0.01433,0,0.1075,0.71817,0,0.16
50,0.01444,0,0.1077,0.71786,0,0.16
60,0.01432,0,0.1075,0.71818,0,0.16
70,0.01443,0,0.1078,0.71777,0,0.16
80,0.01431,0,0.1077,0.71799,0,0.16
90,0.01431,0,0.1081,0.71759,0,0.16
100,0.01442,0,0.1084,0.71718,0,0.16
110,0.01441,0,0.1081,0.71749,0,0.16
120,0.01441,0,0.1082,0.71739,0,0.16
130,0.0144,0,0.1078,0.7178,0,0.16
140,0.0144,0,0.1082,0.7174,0,0.16
150,0.04707,0.06151,0.01993,0.69087,0.01462,0.166
160,0.02153,0.08334,0.01334,0.68659,0.0292,0.166
170,0.02095,0.08437,0.01346,0.68481,0.03041,0.166
180,0.02095,0.08495,0.01345,0.68442,0.03023,0.166
190,0.02083,0.08506,0.01333,0.68456,0.03022,0.166
200,0.02094,0.08529,0.01368,0.68243,0.03166,0.166
210,0.02076,0.08459,0.01344,0.691,0.03021,0.16
220,0.05424,0.02649,0.04797,0.706106,0.005194,0.16
230,0.04963,0.002696,0.07973,0.7072505,0.0006935,0.16
240,0.03763,0.0008447,0.08978,0.7101353,0.00161,0.16
250,0.03279,0.0008415,0.0937,0.712545,0.0001235,0.16
260,0.03042,0.0006073,0.09543,0.7134981,4.46e-05,0.16
270,0.02903,0.000488,0.09647,0.7138576,0.0001544,0.16
280,0.02776,0.0001385,0.09808,0.713699,0.0003225,0.16
290,0.04372,0.0677,0.01861,0.68682,0.01715,0.166
300,0.02095,0.07902,0.01307,0.69166,0.0293,0.166
310,0.02088,0.08502,0.01364,0.68326,0.0312,0.166
320,0.02088,0.08421,0.01364,0.68488,0.03039,0.166
330,0.02076,0.0849,0.0134,0.68507,0.02987,0.166
340,0.02006,0.08189,0.01294,0.68965,0.02946,0.166
350,0.01971,0.08258,0.0127,0.68887,0.03014,0.166
